,city,job_title,company_name,location,summary,salary
1,Singapore,3 x Senior Data Scientist Hires,"Argyll Scott Singapore Pte Ltd, EA Licence No: 11C3721",Singapore,Analyse unstructured data and clean the data sets using machine learning algorithms. Familiar with applying data science within the financial industry....,Nothing_found
2,Singapore,Data Scientist,Accenture,Singapore,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise...",Nothing_found
3,Singapore,Data Scientist,"iKas International, EA Licence No: 16S8086",Singapore,"""Personal data collected will be used for recruitment purposes only"" Looking for a Principal Data Scientist for a global insurance firm....",Nothing_found
4,Singapore,Data Scientist,Singtel,Singapore,"Experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing/transformation and machine...",Nothing_found
5,Singapore,"SVP, Data Scientist, Data Management, Technology and Operations",DBS Bank,Singapore,Experience of architecture design / deployment of big data and analytic infrastructure at Enterprise level. We are looking for someone from tier 1 player in the...,Nothing_found
6,Singapore,Data Analyst,Carousell,Singapore,Be able to identify gaps and issues in our data and work collaboratively with the broader Data team to propose solutions which can better increase our data...,Nothing_found
7,Singapore,Data Scientist,Centre for Strategic Infocomm Technologies (CSIT),Singapore,Data mining and knowledge discovery. Work with rich multimodal datasets and high velocity data streams. Identify high-impact opportunities for applying machine...,Nothing_found
8,Singapore,Data Scientist,MSD,Singapore,The Data Scientist will:. Data Science colleagues globally and regionally. We are looking for a Data Scientist to support our social media command center team...,Nothing_found
9,Singapore,Data Scientist (Machine Learning),Grab Taxi,Singapore,"Develop creative algorithms by employing machine learning, and data mining techniques. Sample of problems the Data Science Department solve - Intelligent...",Nothing_found
10,Singapore,Data Scientist (Asia Pacific),ThreatMetrix,Singapore,"As a Data Scientist consultant, you’ll use data from the largest real-time fraud detection platform on the planet to craft solutions for our customers....",Nothing_found
11,Singapore,Data Scientist,Shopee,Singapore,Visualize data for business and technical audiences and Conduct end-to-end data management starting from data collection / preparation to providing insights for...,Nothing_found
12,Singapore,Data Scientist,Slicebread,Singapore,Proven experience as a Data Scientist or Data Analyst. Experience in data mining. We are looking for a Data Scientist to analyze large amounts of raw...,Nothing_found
13,Singapore,Data Scientist,Mediacorp Pte Ltd,Singapore,"Work with other teams in MediaCorp to understand business needs, document data and data integration requirements, and resolve conflicting business/data...",Nothing_found
14,Singapore,"Assistant Manager, Data Scientist",The Bank of Tokyo-Mitsubishi UFJ Ltd,Singapore,"Job responsibilities • Proven track records in ability to understand and map DB migration from one platform to another • Solid project management skills,...",Nothing_found
15,Singapore,Data Scientist,Shell Infotech Pte Ltd,Singapore,"Perform full life-cycle of Data Scientist / Analyst activities, including conceptualization, visualization to operationalization....",Nothing_found
16,Singapore,Customer Support Engineer - APAC,"Alteryx, Inc.",Singapore,"Alteryx Inc., headquartered in Irvine, CA, offers a quick-to-implement, end-to-end analytics platform that empowers business analysts and data scientists alike...",Nothing_found
